INFO 2026-02-17 17:28:38,636 basehttp 8464 19788 "POST /api/v1/practice/interactions/325/favorite/ HTTP/1.1" 200 20
INFO 2026-02-17 17:28:43,956 views 8464 19788 Returning cached recommendations for user 37
INFO 2026-02-17 17:28:43,958 basehttp 8464 19788 "GET /api/v1/recommender/recommendations/generate_recommendations/?type=hybrid&n=10&min_similarity=0.1 HTTP/1.1" 200 7531
INFO 2026-02-17 17:28:47,599 basehttp 8464 19788 "GET /api/v1/scoring/scoring/get_latest_scores/?limit=50 HTTP/1.1" 200 2
INFO 2026-02-17 17:28:48,997 basehttp 8464 19788 "GET /api/v1/scoring/scoring/get_latest_scores/?limit=50 HTTP/1.1" 200 2
INFO 2026-02-17 17:28:50,515 basehttp 8464 19788 "GET /api/v1/scoring/scoring/get_latest_scores/?limit=50 HTTP/1.1" 200 2
INFO 2026-02-17 17:28:50,911 basehttp 8464 19788 "GET /api/v1/scoring/scoring/get_latest_scores/?limit=50 HTTP/1.1" 200 2
INFO 2026-02-17 17:28:51,089 basehttp 8464 19788 "GET /api/v1/scoring/scoring/get_latest_scores/?limit=50 HTTP/1.1" 200 2
INFO 2026-02-17 17:28:51,292 basehttp 8464 19788 "GET /api/v1/scoring/scoring/get_latest_scores/?limit=50 HTTP/1.1" 200 2
INFO 2026-02-17 17:28:52,138 basehttp 8464 19788 "GET /api/v1/scoring/scoring/get_latest_scores/?limit=50 HTTP/1.1" 200 2
INFO 2026-02-17 17:28:52,764 basehttp 8464 19788 "GET /api/v1/scoring/scoring/get_latest_scores/?limit=50 HTTP/1.1" 200 2
INFO 2026-02-17 17:28:52,939 basehttp 8464 19788 "GET /api/v1/scoring/scoring/get_latest_scores/?limit=50 HTTP/1.1" 200 2
INFO 2026-02-17 17:28:53,116 basehttp 8464 19788 "GET /api/v1/scoring/scoring/get_latest_scores/?limit=50 HTTP/1.1" 200 2
INFO 2026-02-17 17:28:53,682 basehttp 8464 19788 "GET /api/v1/analytics/dashboard/leaderboard/ HTTP/1.1" 200 37
INFO 2026-02-17 17:28:55,069 basehttp 8464 19788 "GET /api/v1/analytics/dashboard/overview/ HTTP/1.1" 200 1581
INFO 2026-02-17 17:28:57,859 basehttp 8464 19788 "GET /api/v1/analytics/dashboard/overview/ HTTP/1.1" 200 1581
INFO 2026-02-17 17:28:58,408 basehttp 8464 19788 "GET /api/v1/scoring/scoring/get_latest_scores/?limit=50 HTTP/1.1" 200 2
INFO 2026-02-17 17:28:59,180 basehttp 8464 19788 "GET /api/v1/analytics/dashboard/overview/ HTTP/1.1" 200 1581
INFO 2026-02-17 17:29:10,834 basehttp 8464 8048 "OPTIONS /api/v1/questions/questions/?search=&page=1&page_size=10 HTTP/1.1" 200 0
INFO 2026-02-17 17:29:10,841 basehttp 8464 19788 "GET /api/v1/questions/categories/ HTTP/1.1" 200 1470
INFO 2026-02-17 17:29:10,859 basehttp 8464 19788 "GET /api/v1/questions/categories/ HTTP/1.1" 200 1470
INFO 2026-02-17 17:29:10,865 basehttp 8464 8048 "GET /api/v1/questions/questions/?search=&page=1&page_size=10 HTTP/1.1" 200 7885
INFO 2026-02-17 17:29:13,576 basehttp 8464 8048 "OPTIONS /api/v1/code-questions/questions/?page=1&page_size=20 HTTP/1.1" 200 0
INFO 2026-02-17 17:29:13,590 basehttp 8464 8048 "GET /api/v1/code-questions/questions/?page=1&page_size=20 HTTP/1.1" 200 1048
INFO 2026-02-17 17:29:14,735 basehttp 8464 8048 "GET /api/v1/questions/categories/ HTTP/1.1" 200 1470
INFO 2026-02-17 17:29:14,747 basehttp 8464 20176 "GET /api/v1/questions/categories/ HTTP/1.1" 200 1470
INFO 2026-02-17 17:29:14,747 basehttp 8464 19788 "GET /api/v1/questions/questions/?search=&page=1&page_size=10 HTTP/1.1" 200 7885
INFO 2026-02-17 17:29:15,694 basehttp 8464 19788 "GET /api/v1/code-questions/questions/?page=1&page_size=20 HTTP/1.1" 200 1048
INFO 2026-02-17 17:29:16,412 basehttp 8464 20176 "GET /api/v1/questions/categories/ HTTP/1.1" 200 1470
INFO 2026-02-17 17:29:16,423 basehttp 8464 19788 "GET /api/v1/questions/questions/?search=&page=1&page_size=12 HTTP/1.1" 200 8905
INFO 2026-02-17 17:29:16,461 basehttp 8464 19788 "GET /api/v1/practice/interactions/?question__in=1,2,3,4,5,6,7,8,9,10,11,12 HTTP/1.1" 200 981
INFO 2026-02-17 17:29:17,063 basehttp 8464 19788 "GET /api/v1/code-questions/questions/?page=1&page_size=20 HTTP/1.1" 200 1048
INFO 2026-02-17 17:29:17,404 basehttp 8464 20176 "GET /api/v1/questions/categories/ HTTP/1.1" 200 1470
INFO 2026-02-17 17:29:17,413 basehttp 8464 19788 "GET /api/v1/questions/questions/?search=&page=1&page_size=12 HTTP/1.1" 200 8905
INFO 2026-02-17 17:29:17,443 basehttp 8464 19788 "GET /api/v1/practice/interactions/?question__in=1,2,3,4,5,6,7,8,9,10,11,12 HTTP/1.1" 200 981
INFO 2026-02-17 17:29:19,455 basehttp 8464 19788 "GET /api/v1/questions/questions/1/ HTTP/1.1" 200 785
INFO 2026-02-17 17:29:19,473 basehttp 8464 19788 "GET /api/v1/practice/interactions/?question=1 HTTP/1.1" 200 981
INFO 2026-02-17 17:29:22,515 basehttp 8464 19788 "PATCH /api/v1/practice/interactions/325/ HTTP/1.1" 200 977
INFO 2026-02-17 17:29:24,052 basehttp 8464 20176 "GET /api/v1/questions/categories/ HTTP/1.1" 200 1470
INFO 2026-02-17 17:29:24,061 basehttp 8464 19788 "GET /api/v1/questions/questions/?search=&page=1&page_size=12 HTTP/1.1" 200 8905
INFO 2026-02-17 17:29:24,089 basehttp 8464 19788 "GET /api/v1/practice/interactions/?question__in=1,2,3,4,5,6,7,8,9,10,11,12 HTTP/1.1" 200 979
INFO 2026-02-17 17:29:25,131 views 8464 19788 Returning cached recommendations for user 37
INFO 2026-02-17 17:29:25,132 basehttp 8464 19788 "GET /api/v1/recommender/recommendations/generate_recommendations/?type=hybrid&n=10&min_similarity=0.1 HTTP/1.1" 200 7531
